"Id","Watinacode","Cat","LineairModel","Modelbaar","EVP","Trend_verschil","Trend_jaren","Trend_sd","Evaporatiefactor","Opm","AlEensBehandeld","Klaar"
1,"ALMP002","3",0,0,76,,,,,,0,1
2,"ALMP003","3",0,0,90,,,,,,1,1
288,"ARHP009","1B",1,0,15,,,,,,0,1
289,"ARHP010","1B",1,0,41,,,,,"zeer weinig metingen",0,1
3,"ASBP001","3",0,0,2,,,,,,0,1
873,"AVEP007",,1,0,89,27.90,4.30,12.00,,,0,1
874,"AVEP036",,1,0,62,,,,,,0,1
4,"BELP004","3",1,0,86,16.00,17.00,4.00,,,0,1
5,"BELP005","3",0,0,59,,,,,,0,1
6,"BELP006","3",1,0,32,,,,,,0,1
7,"BELP008","3",1,0,73,25.00,14.00,3.00,,,0,1
8,"BELP009","3",1,0,43,,,,,,0,1
9,"BELP010","3",0,0,75,15.00,11.00,3.00,,"niet lineair model gekozen owv betere schattingen voor lage waterstanden",0,1
875,"BOBP016",,1,0,50,,,,,,0,1
146,"BOBP018","1B",1,0,66,3.00,7.00,0.40,,,1,1
876,"BOBP303",,0,0,,,,,-1.00,"geen geldige metingen",0,1
877,"BOBP304",,0,0,,,,,-1.00,"geen geldige metingen",0,1
290,"BOEP003","1B",1,0,58,,,,,"te weinig metingen",0,1
147,"BREP201","1B",1,0,98,,,,-1.00,"te weinig data (1 meetjaar) om een simulatie op te baseren",1,1
148,"BREP202","1B",1,0,98,,,,-1.00,"te weinig data (1 meetjaar) om een simulatie op te baseren",1,1
149,"BREP203","1B",1,0,97,,,,-1.00,"te weinig data (1 meetjaar) om een simulatie op te baseren",1,1
150,"BREP204","1B",1,0,93,,,,-1.00,"te weinig data (1 meetjaar) om een simulatie op te baseren",1,1
151,"BREP205","1B",1,0,94,,,,-1.00,"te weinig data (1 meetjaar) om een simulatie op te baseren",1,1
152,"BREP206","1B",1,0,82,,,,-1.00,"te weinig data (1 meetjaar) om een simulatie op te baseren",1,1
153,"BREP207","1B",1,0,89,,,,-1.00,"te weinig data (1 meetjaar) om een simulatie op te baseren",1,1
154,"BREP210","1B",1,0,99,,,,-1.00,"te weinig data (1 meetjaar) om een simulatie op te baseren",1,1
291,"BRSP008","1B",1,0,81,95.00,2.00,230.00,-1.00,"te korte tijdreeks voor een betrouwbare tijdreeks: gesimuleerde waarden vertonen onrealistische grote schommelingen",0,1
155,"BTRP001","1B",0,0,96,,,,,,1,1
10,"BUIP011","3",1,0,80,0.00,10.00,5.00,,"met step 12 cm",0,1
11,"BUIP012","3",0,0,51,,,,,,0,1
12,"BUIP014","3",0,0,52,,,,,,0,1
13,"BUIP015","3",0,1,59,,,,,"toch een vrij behoorlijk model ondanks de lage EVP (vrij stabiele peilen)",0,1
14,"BUIP016","3",0,0,53,,,,,,0,1
15,"BUIP023","3",1,0,88,5.00,15.00,1.00,,"met step, vrij hoge eporatiefactor: 1.85",0,1
16,"BUIP026","3",0,0,55,,,,,,0,1
17,"BUIP027","3",0,1,57,,,,,"toch een vrij behoorlijk model ondanks de lage EVP (vrij stabiele peilen)",1,1
18,"BUIP029","3",0,0,44,,,,,,0,1
19,"BUIP030","3",0,0,47,,,,,,0,1
20,"BUIP031","3",0,0,59,,,,,,0,1
21,"BUIP032","3",0,1,61,,,,,"toch een vrij behoorlijk model ondanks de lage EVP (vrij stabiele peilen)",0,1
22,"BUIP033","3",0,1,59,,,,,"toch een vrij behoorlijk model ondanks de lage EVP (vrij stabiele peilen)",0,1
23,"BUIP035","3",1,0,65,6.00,12.00,1.00,,"vrij hoge evaporatiefactor: 2.55",0,1
292,"BUNP001","1B",1,0,59,,,,,,0,1
293,"CATP004","1B",0,0,,,,,-1.00,"slechts een handvol metingen",0,1
137,"COOP001","2",1,0,77,-14.00,13.00,1.80,,"met twee steps: 38 en -19 cm",1,1
156,"DEMP007","1B",0,0,89,,,,,,1,1
878,"DEMP011",,0,0,89,4.00,7.50,6.00,,,0,1
